9,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,
CONTO ECONOMICO,Gennaio,Febbraio,Marzo,Aprile,Maggio,Giugno,Luglio,Agosto,Settembre,Ottobre,Novembre,Dicembre,Totale Progressivo,%,,CONTO ECONOMICO,Gennaio,Febbraio,Marzo,Aprile,Maggio,Giugno,Luglio,Agosto,Settembre,Ottobre,Novembre,Dicembre,Totale Progressivo,%,,,CONTO ECONOMICO,Gennaio,Febbraio,Marzo,Aprile,Maggio,Giugno,Luglio,Agosto,Settembre,Ottobre,Novembre,Dicembre,Totale Progressivo,%,,CONTO ECONOMICO,Gennaio,Febbraio,Marzo,Aprile,Maggio,Giugno,Luglio,Agosto,Settembre,Ottobre,Novembre,Dicembre,Totale Progressivo,%,, CONTO ECONOMICO,TRASCODIFICA
Ricavi caratteristici,  56.600 ,  82.100 ,  107.100 ,  132.600 ,  151.200 ,  176.200 ,  219.789 ,  219.789 ,  282.879 ,  -   ,  -   ,  -   ,  282.879 ,,,Ricavi caratteristici,  56.600 ,  25.500 ,  25.000 ,  25.500 ,  18.600 ,  25.000 ,  43.589 ,  -   ,  63.090 ,- 282.879 ,  -   ,  -   ,  63.090 ,,,,Ricavi caratteristici,  -   ,  -   ,  -   ,  -   ,  -   ,  30.068 ,  30.068 ,  41.650 ,  41.650 ,  -   ,  -   ,  -   ,  41.650 ,,,Ricavi caratteristici,  -   ,  -   ,  -   ,  -   ,  -   ,  30.068 ,  -   ,  11.581 ,  -   ,- 41.650 ,  -   ,  -   ,  -   ,,,Ricavi caratteristici,Ricavi caratteristici
Altri ricavi,  0 ,  0 ,  10.240 ,  10.240 ,  10.241 ,  10.241 ,  10.241 ,  11.347 ,  11.347 ,  -   ,  -   ,  -   ,  11.347 ,,,Altri ricavi,  0 ,  0 ,  10.240 ,  0 ,  1 ,  -   ,  0 ,  1.106 ,  -   ,- 11.347 ,  -   ,  -   ,  -   ,,,,Altri ricavi caratteristici,  0 ,  0 ,  1 ,  227 ,  2.003 ,  2.006 ,  2.006 ,  2.006 ,  2.006 ,  -   ,  -   ,  -   ,  2.006 ,,,Altri ricavi caratteristici,  0 ,  -   ,  0 ,  226 ,  1.776 ,  3 ,  -   ,  -   ,  -   ,- 2.006 ,  -   ,  -   ,  -   ,,,Altri ricavi,Altri ricavi
TOTALE RICAVI,  56.600 ,  82.100 ,  117.340 ,  142.840 ,  161.441 ,  186.441 ,  230.030 ,  231.136 ,  294.226 ,  -   ,  -   ,  -   ,  294.226 ,100%,,TOTALE RICAVI,  56.600 ,  25.500 ,  35.240 ,  25.500 ,  18.601 ,  25.000 ,  43.589 ,  1.106 ,  63.090 ,- 294.226 ,  -   ,  -   ,  63.090 ,100%,,,TOTALE RICAVI,  0 ,  0 ,  1 ,  227 ,  2.003 ,  32.074 ,  32.074 ,  43.656 ,  43.656 ,  -   ,  -   ,  -   ,  43.656 ,15%,,TOTALE RICAVI,  0 ,  -   ,  0 ,  226 ,  1.776 ,  30.072 ,  -   ,  11.581 ,  -   ,- 43.656 ,  -   ,  -   ,  -   ,0%,,,
Servizi diretti,  530 ,  5.151 ,  6.478 ,  8.163 ,  9.213 ,  10.367 ,  11.901 ,  14.289 ,  15.671 ,  -   ,  -   ,  -   ,  15.671 ,5%,,Servizi diretti,  530 ,  4.621 ,  1.327 ,  1.686 ,  1.050 ,  1.154 ,  1.534 ,  2.388 ,  1.382 ,- 15.671 ,  -   ,  -   ,  1.382 ,,,,Materie prime,  254 ,  261 ,  287 ,  294 ,  301 ,  940 ,  981 ,  1.161 ,  1.990 ,  -   ,  -   ,  -   ,  1.990 ,1%,,Materie prime,  254 ,  7 ,  26 ,  7 ,  7 ,  639 ,  41 ,  179 ,  829 ,- 1.990 ,  -   ,  -   ,  829 ,1%,,Servizi diretti,Servizi diretti
Cosulenze dirette,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Cosulenze dirette,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,Spese su acquisti materie prime,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Spese su acquisti materie prime,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Cosulenze dirette,Cosulenze dirette
Servizi informatici web,  106 ,  210 ,  344 ,  544 ,  606 ,  627 ,  673 ,  806 ,  1.389 ,  -   ,  -   ,  -   ,  1.389 ,0%,,Servizi informatici web,  106 ,  104 ,  134 ,  200 ,  62 ,  22 ,  46 ,  133 ,  582 ,- 1.389 ,  -   ,  -   ,  582 ,,,,--,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  481 ,  549 ,  549 ,  -   ,  -   ,  -   ,  549 ,0%,,--,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  481 ,  68 ,  -   ,- 549 ,  -   ,  -   ,  -   ,0%,,Servizi informatici web,Servizi informatici web
Servizi cloud,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Servizi cloud,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,--,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,--,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,0%,,Servizi cloud,Servizi cloud
COSTI DIRETTI,  636 ,  5.361 ,  6.821 ,  8.707 ,  9.819 ,  10.995 ,  12.574 ,  15.095 ,  17.060 ,  -   ,  -   ,  -   ,  17.060 ,6%,,COSTI DIRETTI,  636 ,  4.725 ,  1.461 ,  1.886 ,  1.112 ,  1.176 ,  1.580 ,  2.521 ,  1.964 ,- 17.060 ,  -   ,  -   ,  1.964 ,3%,,,COSTI DIRETTI,  254 ,  261 ,  287 ,  294 ,  301 ,  940 ,  1.462 ,  1.710 ,  2.539 ,  -   ,  -   ,  -   ,  2.539 ,1%,,COSTI DIRETTI,  254 ,  7 ,  26 ,  7 ,  7 ,  639 ,  522 ,  248 ,  829 ,- 2.539 ,  -   ,  -   ,  829 ,1%,,,
